meet_id,person_id,race_start_time,discipline_name,gender,phase,points,time_str,rank,athlete_name,country_code,time_seconds,meet_name,start_date,end_date,use_era5_land,lat,lon,elevation,timezone,temperature,dewpoint,wind_speed,pressure,relative_humidity,wbgt,city,country,race_time_temperature,race_time_dewpoint,race_time_wind_speed,race_time_pressure,race_time_relative_humidity,race_time_wbgt
oly_2008,aa40579e-1c30-49f8-9c2a-4768b5124edc,2008-08-11T02:30:00,Men's 100m Breaststroke,Men,Finals,1011.0,59.37,3.0,Hugues DUBOSCQ,FRA,59.37,Olympics 2008,2008-08-09,2008-08-24,True,39.9042,116.4074,43,Asia/Shanghai,24.511200523376488,19.361660178502405,1.2835880237515014,996.2005900065104,73.07978988321352,25.21173555966017,Beijing,China,22.693933105468773,22.154595947265648,0.9225375882602884,995.9453125,96.78089758160364,25.64283265144532
oly_2008,8036fd06-f380-47bb-b22a-d64821fdb6ca,2008-08-11T02:30:00,Men's 100m Breaststroke,Men,Finals,1001.0,59.57,4.0,Brendan HANSEN,USA,59.57,Olympics 2008,2008-08-09,2008-08-24,True,39.9042,116.4074,43,Asia/Shanghai,24.511200523376488,19.361660178502405,1.2835880237515014,996.2005900065104,73.07978988321352,25.21173555966017,Beijing,China,22.693933105468773,22.154595947265648,0.9225375882602884,995.9453125,96.78089758160364,25.64283265144532
oly_2008,a813fd49-f76d-49f2-b885-6d88a98dcc1c,2008-08-11T02:30:00,Men's 100m Breaststroke,Men,Finals,992.0,59.74,5.0,Brenton RICKARD,AUS,59.74,Olympics 2008,2008-08-09,2008-08-24,True,39.9042,116.4074,43,Asia/Shanghai,24.511200523376488,19.361660178502405,1.2835880237515014,996.2005900065104,73.07978988321352,25.21173555966017,Beijing,China,22.693933105468773,22.154595947265648,0.9225375882602884,995.9453125,96.78089758160364,25.64283265144532
oly_2008,1173f936-2af2-4129-9846-a1a0324363ac,2008-08-11T02:30:00,Men's 100m Breaststroke,Men,Finals,986.0,59.87,6.0,Roman SLUDNOV,RUS,59.87,Olympics 2008,2008-08-09,2008-08-24,True,39.9042,116.4074,43,Asia/Shanghai,24.511200523376488,19.361660178502405,1.2835880237515014,996.2005900065104,73.07978988321352,25.21173555966017,Beijing,China,22.693933105468773,22.154595947265648,0.9225375882602884,995.9453125,96.78089758160364,25.64283265144532
oly_2008,0ca6cff6-e1ae-493c-b423-0592726baf3d,2008-08-11T02:30:00,Men's 100m Breaststroke,Men,Finals,970.0,1:00.20,7.0,Igor BORYSIK,UKR,60.2,Olympics 2008,2008-08-09,2008-08-24,True,39.9042,116.4074,43,Asia/Shanghai,24.511200523376488,19.361660178502405,1.2835880237515014,996.2005900065104,73.07978988321352,25.21173555966017,Beijing,China,22.693933105468773,22.154595947265648,0.9225375882602884,995.9453125,96.78089758160364,25.64283265144532
oly_2008,2925bb35-89c6-4dc3-bb72-e0de41d67208,2008-08-11T02:30:00,Men's 100m Breaststroke,Men,Finals,968.0,1:00.24,8.0,Mark GANGLOFF,USA,60.24,Olympics 2008,2008-08-09,2008-08-24,True,39.9042,116.4074,43,Asia/Shanghai,24.511200523376488,19.361660178502405,1.2835880237515014,996.2005900065104,73.07978988321352,25.21173555966017,Beijing,China,22.693933105468773,22.154595947265648,0.9225375882602884,995.9453125,96.78089758160364,25.64283265144532
oly_2008,4863e9c8-0b46-491a-b57f-cc217e30e242,2008-08-16T02:10:00,Men's 100m Butterfly,Men,Finals,1026.0,50.58,1.0,Michael PHELPS,USA,50.58,Olympics 2008,2008-08-09,2008-08-24,True,39.9042,116.4074,43,Asia/Shanghai,24.511200523376488,19.361660178502405,1.2835880237515014,996.2005900065104,73.07978988321352,25.21173555966017,Beijing,China,17.142266845703148,15.543145751953148,1.8140843061999923,997.64875,90.32851093615119,19.559175347356206
oly_2008,7cbc8a24-dc18-4fae-bce4-27485cb0cee1,2008-08-16T02:10:00,Men's 100m Butterfly,Men,Finals,1026.0,50.59,2.0,Milorad CAVIC,SRB,50.59,Olympics 2008,2008-08-09,2008-08-24,True,39.9042,116.4074,43,Asia/Shanghai,24.511200523376488,19.361660178502405,1.2835880237515014,996.2005900065104,73.07978988321352,25.21173555966017,Beijing,China,17.142266845703148,15.543145751953148,1.8140843061999923,997.64875,90.32851093615119,19.559175347356206
oly_2008,a2929a25-cc8d-4975-bdc8-b1225a6266fd,2008-08-16T02:10:00,Men's 100m Butterfly,Men,Finals,994.0,51.12,3.0,Andrew LAUTERSTEIN,AUS,51.12,Olympics 2008,2008-08-09,2008-08-24,True,39.9042,116.4074,43,Asia/Shanghai,24.511200523376488,19.361660178502405,1.2835880237515014,996.2005900065104,73.07978988321352,25.21173555966017,Beijing,China,17.142266845703148,15.543145751953148,1.8140843061999923,997.64875,90.32851093615119,19.559175347356206
oly_2008,49e5b13a-c8e8-4616-8f82-f4f75cce14d1,2008-08-16T02:10:00,Men's 100m Butterfly,Men,Finals,994.0,51.13,4.0,Ian CROCKER,USA,51.13,Olympics 2008,2008-08-09,2008-08-24,True,39.9042,116.4074,43,Asia/Shanghai,24.511200523376488,19.361660178502405,1.2835880237515014,996.2005900065104,73.07978988321352,25.21173555966017,Beijing,China,17.142266845703148,15.543145751953148,1.8140843061999923,997.64875,90.32851093615119,19.559175347356206
oly_2008,a7da1a14-2996-4501-800c-37a9df983bed,2008-08-16T02:10:00,Men's 100m Butterfly,Men,Finals,974.0,51.47,5.0,Jason DUNFORD,KEN,51.47,Olympics 2008,2008-08-09,2008-08-24,True,39.9042,116.4074,43,Asia/Shanghai,24.511200523376488,19.361660178502405,1.2835880237515014,996.2005900065104,73.07978988321352,25.21173555966017,Beijing,China,17.142266845703148,15.543145751953148,1.8140843061999923,997.64875,90.32851093615119,19.559175347356206
oly_2008,cb2a5adb-341f-4f9d-bc28-4aa9ef92dbcb,2008-08-16T02:10:00,Men's 100m Butterfly,Men,Finals,972.0,51.50,6.0,Takuro FUJII,JPN,51.5,Olympics 2008,2008-08-09,2008-08-24,True,39.9042,116.4074,43,Asia/Shanghai,24.511200523376488,19.361660178502405,1.2835880237515014,996.2005900065104,73.07978988321352,25.21173555966017,Beijing,China,17.142266845703148,15.543145751953148,1.8140843061999923,997.64875,90.32851093615119,19.559175347356206
oly_2008,ed1d60c3-e8b8-41f4-ae78-ed3dbfe537d8,2008-08-16T02:10:00,Men's 100m Butterfly,Men,Finals,967.0,51.59,7.0,Andriy SERDINOV,UKR,51.59,Olympics 2008,2008-08-09,2008-08-24,True,39.9042,116.4074,43,Asia/Shanghai,24.511200523376488,19.361660178502405,1.2835880237515014,996.2005900065104,73.07978988321352,25.21173555966017,Beijing,China,17.142266845703148,15.543145751953148,1.8140843061999923,997.64875,90.32851093615119,19.559175347356206
oly_2008,214fc042-e9e5-45ad-84c4-d22a95c40f08,2008-08-16T02:10:00,Men's 100m Butterfly,Men,Finals,952.0,51.86,8.0,Ryan PINI,PNG,51.86,Olympics 2008,2008-08-09,2008-08-24,True,39.9042,116.4074,43,Asia/Shanghai,24.511200523376488,19.361660178502405,1.2835880237515014,996.2005900065104,73.07978988321352,25.21173555966017,Beijing,China,17.142266845703148,15.543145751953148,1.8140843061999923,997.64875,90.32851093615119,19.559175347356206
oly_2008,bac2be03-d617-4a65-a7b1-89acdd64a852,2008-08-14T02:49:00,Men's 100m Freestyle,Men,Finals,1022.0,47.21,1.0,Alain BERNARD,FRA,47.21,Olympics 2008,2008-08-09,2008-08-24,True,39.9042,116.4074,43,Asia/Shanghai,24.511200523376488,19.361660178502405,1.2835880237515014,996.2005900065104,73.07978988321352,25.21173555966017,Beijing,China,22.703820800781273,21.903314208984398,0.9248167269191635,996.3440625,95.2552208813881,25.513933437062608
oly_2008,10a8ca7c-00e8-45e4-82d2-70cfa7b5ad31,2008-08-14T02:49:00,Men's 100m Freestyle,Men,Finals,1015.0,47.32,2.0,Eamon SULLIVAN,AUS,47.32,Olympics 2008,2008-08-09,2008-08-24,True,39.9042,116.4074,43,Asia/Shanghai,24.511200523376488,19.361660178502405,1.2835880237515014,996.2005900065104,73.07978988321352,25.21173555966017,Beijing,China,22.703820800781273,21.903314208984398,0.9248167269191635,996.3440625,95.2552208813881,25.513933437062608
